id,context,question,canquestion,answer,goldstandard1,label_4class,scenario_idx,label_6class,explanation
28063,Y has just travelled from a different city to meet X.,Do you want to go with me to brunch on Saturday?,I want to go with me to brunch on Saturday .,Let's go get pancakes.,Yes,0,6,0,"The literal content of the answer proposes an activity closely related to brunch, specifically getting pancakes. Given the conversational context, this suggests enthusiasm for going out to eat together on Saturday, implicitly agreeing to the brunch plan. Therefore, the answer pragmatically implies a positive response, indicating willingness to join."
2105,X wants to know what activities Y likes to do during weekends.,Do you like movies?,I like movies .,I love going to see films.,Yes,0,1,0,"The answer explicitly states a strong positive attitude toward going to see films, which is a direct synonym for watching movies. Given the conversational context, this literal content indicates enthusiasm rather than mere neutrality or dislike. Therefore, the response pragmatically implies an affirmative answer to the question."
31055,X wants to know what sorts of books Y likes to read.,Are you into murder mysteries?,I am into murder mysteries .,I do enjoy them,Yes,0,2,0,"The literal content affirms enjoyment of murder mysteries, directly addressing the question. Pragmatically, this positive statement implies a favorable attitude toward that genre, suggesting that Y is indeed interested in murder mysteries. There is no indication of uncertainty or conditions, so the answer effectively conveys a ""yes."""
12961,X wants to know about Y's music preferences.,Do you play any instrument?,I play instrument .,The cello is my true love.,Yes,0,5,0,"The answer literally states a strong affection for the cello, which is an instrument, implying familiarity and likely proficiency with it. Given the conversational context, expressing love for the cello suggests that the person does play it, as such affection typically arises from direct experience. Therefore, the response pragmatically implies a positive answer to the question."
7453,Y has just travelled from a different city to meet X.,Do you want to grab a bite to eat?,I want to grab a bite to eat .,I am pretty hungry right now.,Yes,0,6,0,"The literal content states that the speaker is experiencing hunger, which directly relates to the desire to eat. Given the context of being asked about grabbing a bite, this implies a positive inclination toward eating. Pragmatically, the answer suggests a ""yes"" to the question, as expressing hunger serves as an indirect affirmation of wanting to eat."
24837,X wants to know about Y's music preferences.,Do you make any music?,I make music .,I play guitar in a band.,Yes,0,5,0,"The answer literally states that the speaker plays guitar in a band, which is a form of making music. Pragmatically, by providing this specific information rather than a simple yes or no, the speaker confirms involvement in music creation or performance. This implies a positive response to the question about making music."
28494,X wants to know about Y's food preferences.,Do you like to eat healthy food?,I like to eat healthy food .,I try my hardest to eat organic food.,Yes,0,0,0,"The answer literally states an effort to eat organic food, which is often associated with healthy eating but is not identical to it. Pragmatically, this suggests a positive inclination toward health-conscious food choices, though it does not directly confirm liking healthy food in general. The response implies a conditional or qualified yes, emphasizing a specific aspect of healthy eating rather than an outright affirmation."
21078,Y has just travelled from a different city to meet X.,Want to see a movie together?,I want to see a movie together .,I would love to,Yes,0,6,0,"The literal content expresses a positive desire or willingness to see a movie together. Given the context that Y has traveled to meet X, this enthusiastic response suggests genuine interest in spending time together. Pragmatically, it implies a clear affirmative to the invitation."
24897,X wants to know what activities Y likes to do during weekends.,Are you into the outdoors?,I am into the outdoors .,I go hiking every weekend.,Yes,0,1,0,"The literal content states that Y goes hiking every weekend, which is an outdoor activity. Given the conversational context, this specific example of an outdoor activity suggests a positive attitude toward outdoor activities in general. Therefore, the answer pragmatically implies a ""yes"" to being into the outdoors."
25907,X wants to know about Y's music preferences.,Do you like current music?,I like current music .,I like hearing new artists.,Yes,0,5,0,"The answer literally states a positive attitude toward ""new artists,"" which are typically associated with current music. Pragmatically, this suggests an openness or preference for contemporary music, even if not explicitly confirming liking all current music. Therefore, the response implies a qualified yes, indicating some liking of current music through the appreciation of new artists."
3219,Y has just told X that he/she is thinking of buying a flat in New York.,Do you want to be downtown?,I want to be downtown .,That is my hope.,Yes,0,8,0,"The literal content expresses a desire or aspiration rather than a direct affirmation or negation. Pragmatically, it implies a positive inclination toward being downtown, as the speaker hopes for that outcome. This suggests a conditional or tentative yes, indicating intention but not a definitive commitment."
32330,X wants to know what activities Y likes to do during weekends.,Hey would you be interested in going to a local band's show this weekend?,I am would I be interested in going to a local band 's show this weekend .,I can be the designated driver.,Yes,0,1,0,"The literal content indicates Y is willing to take on the role of designated driver, which implies availability and some level of participation in the outing. Pragmatically, by offering to drive rather than directly accepting or declining the invitation, Y suggests a conditional agreement—willing to be involved if the plan includes transportation needs. This implies a tentative yes, contingent on the activity involving going out where a driver is needed."
30287,X wants to know what activities Y likes to do during weekends.,Do you like to be active?,I like to be active .,When I have time,Yes,0,1,0,"The literal content indicates that Y's preference for being active depends on having available time, rather than a straightforward affirmation or negation. Pragmatically, this suggests that Y does like to be active, but only conditionally, implying that time constraints are a significant factor. Therefore, the answer conveys a qualified yes, contingent on having free time."
946,Y has just told X that he/she is considering switching his/her job.,Are you looking for work in the same field?,I am looking for work in the same field .,I think that would be the smart move.,Yes,0,9,0,"The literal content suggests that staying in the same field is considered a wise decision by the speaker. Pragmatically, this implies the speaker is leaning toward or favoring the idea of looking for work in the same field, rather than ruling it out. Therefore, the answer indirectly supports a ""yes"" with a positive evaluation, indicating a conditional or preferred choice rather than an outright commitment."
21195,X wants to know about Y's music preferences.,Do you have a specific go-to genre of music you like to listen to?,I have a specific go-to genre of music .,Jazz is my favorite.,Yes,0,5,0,"The answer explicitly states a favorite genre, which directly addresses the question about having a specific go-to genre. By naming jazz as a favorite, the speaker implies a positive response to having a preferred genre. This suggests a clear ""yes,"" as the speaker identifies a particular genre they favor."
13526,Y has just told X that he/she is considering switching his/her job.,Does it involve a lot of time at your desk?,It does involve a lot of time at my desk .,I might need to get a standing desk.,Yes,0,9,0,"The answer literally states a potential need for a standing desk, which suggests concern about the physical setup at the workspace. This implies that the job likely involves significant time spent at a desk, as standing desks are typically considered when one expects to be seated for long periods. Pragmatically, the response indicates a conditional yes, acknowledging desk time but focusing on a possible adjustment rather than directly confirming the extent."
13238,X wants to know what activities Y likes to do during weekends.,Want to try something creative?,I want to try something creative .,I'd love to make something.,Yes,0,1,0,"The literal content expresses a positive desire to engage in making something, which is a creative activity. Given the context, this indicates enthusiasm for trying creative activities during weekends. Therefore, the answer pragmatically implies agreement or a positive response to the question."
15888,X and Y are childhood neighbours who unexpectedly run into each other at a cafe.,Did you take your dream vacation?,I did take my dream vacation .,We finally did.,Yes,0,7,0,"The literal content ""We finally did"" indicates that the action of taking the dream vacation has been completed. The use of ""finally"" suggests it was anticipated or planned for a long time, implying a positive outcome. Pragmatically, this confirms the vacation happened, so the answer implies ""yes."""
34154,X wants to know what activities Y likes to do during weekends.,Would you ever sky dive?,I would ever sky dive .,I did it once.,Yes,0,1,0,"The literal content states that Y has skydived once, indicating experience with the activity. Given the question about whether Y would ever do it, this past action implies at least some willingness or openness to skydiving. Therefore, the answer pragmatically suggests a qualified ""yes,"" acknowledging prior participation without explicitly stating future intent."
